,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
3,1630173,2023-24,00,1610612761,TOR,24.0,25,0,437.0,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,16,12,29,40,193,Precious Achiuwa,2020,20
4,1630173,2023-24,00,1610612752,NYK,24.0,49,18,1187.0,157,299,0.525,13,50,0.26,45,70,0.643,141,210,351,53,30,56,54,103,372,Precious Achiuwa,2020,20
22,1628389,2023-24,00,1610612748,MIA,26.0,71,71,2416.0,530,1017,0.521,15,42,0.357,292,387,0.755,159,578,737,278,81,66,162,159,1367,Bam Adebayo,2017,14
24,1630534,2023-24,00,1610612762,UTA,24.0,51,10,1003.0,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,27,29,34,66,274,Ochai Agbaji,2022,14
25,1630534,2023-24,00,1610612761,TOR,24.0,27,18,638.0,72,184,0.391,15,69,0.217,22,36,0.611,39,51,90,36,20,15,30,51,181,Ochai Agbaji,2022,14
29,1630583,2023-24,00,1610612763,MEM,23.0,61,35,1618.0,247,568,0.435,106,304,0.349,54,87,0.621,72,280,352,138,43,54,69,89,654,Santi Aldama,2021,30
38,1629638,2023-24,00,1610612750,MIN,25.0,82,20,1921.0,236,538,0.439,131,335,0.391,52,65,0.8,35,132,167,204,64,42,76,143,655,Nickeil Alexander-Walker,2019,17
44,1628960,2023-24,00,1610612756,PHX,28.0,75,74,2513.0,340,682,0.499,205,445,0.461,129,147,0.878,48,247,295,227,69,45,95,157,1014,Grayson Allen,2018,21
53,1628386,2023-24,00,1610612739,CLE,26.0,77,77,2442.0,519,819,0.634,0,6,0.0,233,314,0.742,243,568,811,210,53,81,121,147,1271,Jarrett Allen,2017,22
56,1630631,2023-24,00,1610612740,NOP,26.0,56,0,1028.0,142,345,0.412,78,207,0.377,35,52,0.673,25,103,128,117,59,15,40,89,397,Jose Alvarado,Undrafted,Undrafted
66,203937,2023-24,00,1610612750,MIN,30.0,79,10,1782.0,199,433,0.46,11,48,0.229,97,137,0.708,60,213,273,331,71,47,91,128,506,Kyle Anderson,2014,30
77,203507,2023-24,00,1610612749,MIL,29.0,73,73,2567.0,837,1369,0.611,34,124,0.274,514,782,0.657,196,645,841,476,87,79,250,210,2222,Giannis Antetokounmpo,2013,15
83,203648,2023-24,00,1610612749,MIL,31.0,34,0,155.0,16,30,0.533,0,1,0.0,0,2,0.0,7,6,13,17,7,4,14,24,32,Thanasis Antetokounmpo,2014,51
87,1630175,2023-24,00,1610612753,ORL,24.0,81,0,1817.0,332,763,0.435,93,275,0.338,180,218,0.826,64,247,311,236,64,37,126,175,937,Cole Anthony,2020,15
94,1628384,2023-24,00,1610612761,TOR,26.0,27,27,900.0,157,321,0.489,61,163,0.374,33,46,0.717,24,82,106,72,28,13,43,62,408,OG Anunoby,2017,23
95,1628384,2023-24,00,1610612752,NYK,26.0,23,23,802.0,125,256,0.488,41,104,0.394,34,43,0.791,23,79,102,35,40,23,38,57,325,OG Anunoby,2017,23
105,1627853,2023-24,00,1610612752,NYK,30.0,20,0,45.0,0,6,0.0,0,6,0.0,0,0,0.0,0,8,8,4,2,0,2,5,0,Ryan Arcidiacono,Undrafted,Undrafted
109,1630166,2023-24,00,1610612764,WAS,23.0,75,75,2257.0,406,803,0.506,88,235,0.374,202,273,0.74,84,456,540,286,60,36,160,185,1102,Deni Avdija,2020,9
115,1629028,2023-24,00,1610612757,POR,25.0,55,55,1783.0,427,749,0.57,1,10,0.1,65,79,0.823,176,433,609,90,56,42,99,109,920,Deandre Ayton,2018,1
119,1628962,2023-24,00,1610612756,PHX,24.0,16,0,113.0,16,23,0.696,0,0,0.0,3,13,0.231,11,21,32,3,1,6,4,17,35,Udoka Azubuike,2020,27
127,1628963,2023-24,00,1610612765,DET,25.0,26,10,478.0,107,181,0.591,1,6,0.167,50,61,0.82,46,72,118,27,5,14,29,40,265,Marvin Bagley III,2018,2
128,1628963,2023-24,00,1610612764,WAS,25.0,24,15,575.0,132,227,0.581,8,17,0.471,46,65,0.708,84,110,194,28,15,19,30,41,318,Marvin Bagley III,2018,2
130,1641735,2023-24,00,1610612766,CHA,20.0,10,0,65.0,8,24,0.333,1,8,0.125,6,7,0.857,6,3,9,7,3,0,4,2,23,Amari Bailey,2023,41
132,1631116,2023-24,00,1610612764,WAS,21.0,38,7,494.0,59,155,0.381,31,97,0.32,19,28,0.679,17,106,123,29,18,15,19,56,168,Patrick Baldwin Jr.,2022,28
136,1630163,2023-24,00,1610612766,CHA,22.0,22,22,711.0,183,423,0.433,70,197,0.355,90,104,0.865,29,84,113,176,40,4,83,79,526,LaMelo Ball,2020,3
149,1628964,2023-24,00,1610612755,PHI,26.0,57,17,740.0,97,198,0.49,25,64,0.391,34,50,0.68,77,161,238,41,22,60,39,101,253,Mo Bamba,2018,6
151,1631094,2023-24,00,1610612753,ORL,21.0,80,80,2799.0,640,1407,0.455,119,351,0.339,405,559,0.725,82,472,554,431,71,47,247,153,1804,Paolo Banchero,2022,1
155,1630217,2023-24,00,1610612763,MEM,25.0,42,42,1443.0,360,776,0.464,137,360,0.381,140,161,0.87,36,149,185,230,43,22,112,120,997,Desmond Bane,2020,30
158,1630625,2023-24,00,1610612738,BOS,24.0,24,1,171.0,19,51,0.373,2,16,0.125,16,20,0.8,12,23,35,19,5,3,10,20,56,Dalano Banton,2021,46
159,1630625,2023-24,00,1610612757,POR,24.0,30,8,876.0,183,449,0.408,57,183,0.311,78,100,0.78,29,114,143,108,28,17,67,44,501,Dalano Banton,2021,46
162,1631230,2023-24,00,1610612759,SAS,21.0,33,1,420.0,56,113,0.496,3,9,0.333,29,42,0.69,45,68,113,36,12,14,9,47,144,Dominick Barlow,Undrafted,Undrafted
176,203084,2023-24,00,1610612758,SAC,32.0,82,82,2381.0,347,732,0.474,149,385,0.387,157,196,0.801,67,182,249,99,54,12,58,98,1000,Harrison Barnes,2012,7
179,1630567,2023-24,00,1610612761,TOR,22.0,60,60,2094.0,447,942,0.475,101,296,0.341,196,251,0.781,141,353,494,363,75,88,165,118,1191,Scottie Barnes,2021,4
184,1629628,2023-24,00,1610612752,NYK,23.0,26,26,767.0,164,388,0.423,43,130,0.331,103,124,0.831,19,92,111,63,12,9,47,45,474,RJ Barrett,2019,3
185,1629628,2023-24,00,1610612761,TOR,23.0,32,32,1072.0,272,492,0.553,47,120,0.392,105,167,0.629,34,170,204,130,19,13,79,84,696,RJ Barrett,2019,3
189,1629646,2023-24,00,1610612759,SAS,23.0,19,0,205.0,29,40,0.725,0,1,0.0,5,6,0.833,23,53,76,21,8,17,15,31,63,Charles Bassey,2021,53
190,1641734,2023-24,00,1610612739,CLE,20.0,15,0,133.0,15,49,0.306,10,33,0.303,1,4,0.25,1,13,14,10,1,2,8,5,41,Emoni Bates,2023,49
198,1628966,2023-24,00,1610612756,PHX,28.0,39,8,597.0,64,150,0.427,20,64,0.313,26,36,0.722,30,71,101,34,22,20,13,33,174,Keita Bates-Diop,2018,48
199,1628966,2023-24,00,1610612751,BKN,28.0,14,0,68.0,8,16,0.5,1,5,0.2,6,6,1.0,1,8,9,4,3,2,2,2,23,Keita Bates-Diop,2018,48
216,201587,2023-24,00,1610612746,LAC,35.0,3,0,54.0,3,8,0.375,2,7,0.286,0,0,0.0,0,7,7,5,3,4,1,5,8,Nicolas Batum,2008,25
217,201587,2023-24,00,1610612755,PHI,35.0,57,38,1476.0,113,248,0.456,71,178,0.399,15,21,0.714,70,171,241,123,45,34,39,104,312,Nicolas Batum,2008,25
230,203078,2023-24,00,1610612756,PHX,30.0,53,53,1767.0,377,735,0.513,101,235,0.43,109,134,0.813,54,178,232,265,52,27,131,127,964,Bradley Beal,2012,3
242,1627736,2023-24,00,1610612749,MIL,27.0,79,77,2337.0,320,722,0.443,224,542,0.413,25,35,0.714,41,249,290,108,59,9,54,158,889,Malik Beasley,2016,19
244,1630699,2023-24,00,1610612749,MIL,23.0,48,1,608.0,81,166,0.488,30,75,0.4,19,28,0.679,22,77,99,31,13,7,27,54,211,MarJon Beauchamp,2022,24
254,202722,2023-24,00,1610612760,OKC,31.0,15,0,91.0,10,26,0.385,10,24,0.417,14,15,0.933,2,8,10,9,3,3,1,10,44,Davis Bertans,2011,42
255,202722,2023-24,00,1610612766,CHA,31.0,28,1,583.0,82,208,0.394,66,176,0.375,16,18,0.889,7,44,51,26,23,9,17,46,246,Davis Bertans,2011,42
270,201976,2023-24,00,1610612755,PHI,35.0,47,5,919.0,104,241,0.432,35,109,0.321,51,63,0.81,30,115,145,144,24,18,49,83,294,Patrick Beverley,2009,42
271,201976,2023-24,00,1610612749,MIL,35.0,26,8,543.0,54,138,0.391,26,72,0.361,23,27,0.852,19,75,94,68,19,13,16,45,157,Patrick Beverley,2009,42
278,1630180,2023-24,00,1610612737,ATL,25.0,63,51,2062.0,290,697,0.416,113,358,0.316,170,203,0.837,167,244,411,92,51,11,54,88,863,Saddiq Bey,2020,19
285,1629048,2023-24,00,1610612753,ORL,24.0,62,33,957.0,126,209,0.603,2,14,0.143,57,87,0.655,109,177,286,79,32,72,44,107,311,Goga Bitadze,2019,18
286,1641931,2023-24,00,1610612741,CHI,25.0,23,1,268.0,32,84,0.381,12,44,0.273,4,5,0.8,6,26,32,13,3,2,10,24,80,Onuralp Bitim,Undrafted,Undrafted
299,202687,2023-24,00,1610612763,MEM,31.0,30,27,718.0,67,119,0.563,0,0,0.0,22,46,0.478,57,134,191,51,10,34,38,82,156,Bismack Biyombo,2011,7
300,202687,2023-24,00,1610612760,OKC,31.0,10,0,73.0,7,12,0.583,0,0,0.0,4,8,0.5,5,13,18,2,1,3,4,7,18,Bismack Biyombo,2011,7
302,1641710,2023-24,00,1610612753,ORL,20.0,69,33,1164.0,115,247,0.466,37,94,0.394,49,80,0.613,33,106,139,91,35,21,56,110,316,Anthony Black,2023,6
303,1641778,2023-24,00,1610612766,CHA,24.0,26,3,284.0,25,52,0.481,9,20,0.45,10,15,0.667,9,39,48,24,8,11,6,19,69,Leaky Black,Undrafted,Undrafted
310,203992,2023-24,00,1610612737,ATL,31.0,79,33,2401.0,471,1100,0.428,240,641,0.374,151,164,0.921,53,219,272,247,96,26,112,179,1333,Bogdan Bogdanovic,2014,27
322,202711,2023-24,00,1610612765,DET,35.0,28,27,921.0,199,425,0.468,86,207,0.415,81,104,0.779,13,81,94,71,23,4,63,57,565,Bojan Bogdanovic,2011,31
323,202711,2023-24,00,1610612752,NYK,35.0,29,0,557.0,110,256,0.43,47,127,0.37,36,45,0.8,9,49,58,26,7,1,38,38,303,Bojan Bogdanovic,2011,31
329,1629626,2023-24,00,1610612756,PHX,24.0,43,0,469.0,93,151,0.616,22,52,0.423,15,19,0.789,32,105,137,17,10,25,19,42,223,Bol Bol,2019,44
332,1629716,2023-24,00,1610612749,MIL,26.0,2,0,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,Marques Bolden,2019,
333,1629716,2023-24,00,1610612766,CHA,26.0,9,2,118.0,17,25,0.68,0,1,0.0,3,4,0.75,10,22,32,4,3,7,3,9,37,Marques Bolden,2019,
343,1626164,2023-24,00,1610612756,PHX,27.0,68,68,2447.0,642,1305,0.492,152,418,0.364,405,457,0.886,56,252,308,472,61,28,178,206,1841,Devin Booker,2015,13
346,1630527,2023-24,00,1610612746,LAC,22.0,32,0,345.0,65,161,0.404,14,52,0.269,23,33,0.697,19,33,52,13,11,8,24,40,167,Brandon Boston Jr.,2021,51
353,1628449,2023-24,00,1610612761,TOR,31.0,50,0,705.0,110,217,0.507,31,94,0.33,71,92,0.772,62,145,207,23,14,24,28,68,322,Chris Boucher,Undrafted,Undrafted
356,1630547,2023-24,00,1610612766,CHA,23.0,14,0,81.0,18,41,0.439,13,30,0.433,1,2,0.5,1,8,9,6,1,1,2,3,50,James Bouknight,2021,11
358,1631103,2023-24,00,1610612759,SAS,21.0,75,29,1594.0,271,628,0.432,93,268,0.347,55,63,0.873,28,120,148,156,27,8,91,94,690,Malaki Branham,2022,20
360,1631128,2023-24,00,1610612743,DEN,23.0,82,4,1656.0,222,483,0.46,63,164,0.384,93,134,0.694,79,227,306,132,42,35,55,137,600,Christian Braun,2022,21
368,1628969,2023-24,00,1610612751,BKN,27.0,82,82,2854.0,564,1294,0.436,220,592,0.372,258,317,0.814,68,304,372,299,81,30,164,116,1606,Mikal Bridges,2018,10
373,1628970,2023-24,00,1610612766,CHA,26.0,69,67,2581.0,559,1210,0.462,157,450,0.349,174,211,0.825,71,434,505,231,65,33,138,118,1449,Miles Bridges,2018,12
378,1629052,2023-24,00,1610612738,BOS,25.0,55,1,630.0,68,153,0.444,15,55,0.273,50,83,0.602,61,99,160,44,19,8,20,54,201,Oshae Brissett,Undrafted,Undrafted
386,1627763,2023-24,00,1610612757,POR,31.0,39,25,1121.0,218,496,0.44,82,199,0.412,95,116,0.819,28,120,148,214,27,8,60,58,613,Malcolm Brogdon,2016,36
391,1629717,2023-24,00,1610612751,BKN,25.0,10,0,104.0,15,46,0.326,11,32,0.344,1,2,0.5,7,11,18,5,1,1,3,3,42,Armoni Brooks,2019,
398,1628415,2023-24,00,1610612745,HOU,28.0,72,72,2227.0,329,768,0.428,133,370,0.359,124,147,0.844,53,193,246,119,64,10,88,241,915,Dillon Brooks,2017,45
404,1628971,2023-24,00,1610612754,IND,27.0,33,33,981.0,149,314,0.475,33,101,0.327,67,82,0.817,25,129,154,100,35,8,41,81,398,Bruce Brown,2018,42
405,1628971,2023-24,00,1610612761,TOR,27.0,34,11,885.0,129,268,0.481,20,63,0.317,50,60,0.833,28,102,130,92,24,9,45,67,328,Bruce Brown,2018,42
414,1627759,2023-24,00,1610612738,BOS,27.0,70,70,2343.0,627,1256,0.499,145,410,0.354,211,300,0.703,84,303,387,249,83,37,166,185,1610,Jaylen Brown,2016,3
416,1631112,2023-24,00,1610612754,IND,21.0,15,0,63.0,8,15,0.533,0,2,0.0,5,8,0.625,3,2,5,5,0,0,2,9,21,Kendall Brown,2022,48
417,1641738,2023-24,00,1610612746,LAC,24.0,44,0,394.0,37,90,0.411,14,48,0.292,1,2,0.5,20,42,62,25,12,6,9,49,89,Kobe Brown,2023,30
426,1629650,2023-24,00,1610612757,POR,24.0,22,5,200.0,33,65,0.508,0,0,0.0,9,31,0.29,37,49,86,7,5,7,11,27,75,Moses Brown,Undrafted,Undrafted
429,1630535,2023-24,00,1610612742,DAL,22.0,6,0,40.0,5,11,0.455,1,3,0.333,4,9,0.444,3,6,9,4,0,4,4,5,15,Greg Brown III,2021,43
435,1629718,2023-24,00,1610612752,NYK,27.0,8,0,37.0,2,10,0.2,2,7,0.286,0,0,0.0,1,1,2,0,0,2,2,5,6,Charlie Brown Jr.,Undrafted,Undrafted
443,1628972,2023-24,00,1610612750,MIN,24.0,37,3,410.0,52,118,0.441,31,84,0.369,19,22,0.864,14,58,72,35,8,2,18,26,154,Troy Brown Jr.,2018,15
444,1628972,2023-24,00,1610612765,DET,24.0,22,12,417.0,32,108,0.296,16,57,0.281,13,15,0.867,11,61,72,25,16,1,12,16,93,Troy Brown Jr.,2018,15
