,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DISPLAY_FIRST_LAST,DRAFT_YEAR,DRAFT_NUMBER
1112,1631260,2023-24,00,1610612749,MIL,24.0,56,0,614.0,83,196,0.423,69,169,0.408,17,19,0.895,9,55,64,30,9,4,12,49,252,AJ Green,Undrafted,Undrafted
1129,201980,2023-24,00,1610612755,PHI,36.0,2,0,18.0,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1,1,0,0,1,0,Danny Green,2009,46
1141,203110,2023-24,00,1610612744,GSW,34.0,55,52,1490.0,185,372,0.497,51,129,0.395,54,74,0.73,76,322,398,332,55,47,135,166,475,Draymond Green,2012,35
1144,1630224,2023-24,00,1610612745,HOU,22.0,82,82,2601.0,563,1332,0.423,201,605,0.332,283,352,0.804,41,382,423,291,66,28,191,115,1610,Jalen Green,2021,2
1168,201145,2023-24,00,1610612745,HOU,37.0,78,6,1307.0,167,366,0.456,53,160,0.331,122,149,0.819,46,132,178,70,16,31,46,100,509,Jeff Green,2007,5
1172,1630182,2023-24,00,1610612742,DAL,23.0,57,33,1505.0,179,374,0.479,72,187,0.385,39,57,0.684,40,144,184,130,47,9,60,107,469,Josh Green,2020,18
1174,1631100,2023-24,00,1610612737,ATL,20.0,20,0,171.0,18,62,0.29,10,39,0.256,2,2,1.0,2,16,18,5,1,2,8,6,48,AJ Griffin,2022,16
1177,1629656,2023-24,00,1610612752,NYK,24.0,45,18,910.0,113,286,0.395,77,212,0.363,24,34,0.706,14,74,88,52,30,3,21,66,327,Quentin Grimes,2021,25
1178,1629656,2023-24,00,1610612765,DET,24.0,6,0,115.0,9,42,0.214,4,28,0.143,10,11,0.909,1,11,12,14,5,4,7,9,32,Quentin Grimes,2021,25
1180,1631243,2023-24,00,1610612737,ATL,21.0,6,0,73.0,8,23,0.348,3,9,0.333,5,6,0.833,10,12,22,4,5,4,1,13,24,Mouhamed Gueye,2023,39
